Accession,Species,Genus,Family,Length,Country
MN365238,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Russia
MF288655,Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,7824,Netherlands
FJ787437,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MG813977,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15079,USA
FJ850119,Dengue virus,Flavivirus,Flaviviridae,10678,Nicaragua
FJ850112,Dengue virus,Flavivirus,Flaviviridae,10702,Venezuela
KT749820,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Belgium
HM469977,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9443,Spain
FJ948861,Primate bocaparvovirus 1,Bocaparvovirus,Parvoviridae,5164,Australia
FJ410196,Dengue virus,Flavivirus,Flaviviridae,10689,Viet Nam
EU620754,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,693,China
HQ537746,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7962,
FJ899775,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3200,China
KP339905,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KJ627340,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15175,Peru
KP861960,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1408,Iran
KP861958,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1408,Iran
JQ429081,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3218,Indonesia
MH330341,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8950,Russia
MH330344,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8919,Russia
GQ199806,Dengue virus,Flavivirus,Flaviviridae,10689,Viet Nam
EU620753,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,759,China
KP164571,Chikungunya virus,Alphavirus,Togaviridae,12189,Brazil
FJ495823,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8990,USA
FJ495825,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8990,USA
KT721304,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KT721308,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KT721310,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KT721314,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK540342,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KT721320,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK540285,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MH544649,Dengue virus,Flavivirus,Flaviviridae,10707,Colombia
MK540347,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540286,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540349,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540310,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540348,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540288,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540340,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540282,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KT721302,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK540298,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
AY169802,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9243,Cameroon
MK540291,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KT721316,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KT721317,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KT721299,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK540292,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KT721298,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK540297,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540268,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540262,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540360,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540346,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
FJ495826,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8990,USA
MK540258,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540263,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540321,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540358,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540316,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540260,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540265,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540328,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540272,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540275,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540319,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540271,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540269,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540270,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540248,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MG737891,Dengue virus,Flavivirus,Flaviviridae,1485,China
MK540302,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540305,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KT721303,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
KT721305,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK540307,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KT721297,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
GQ477463,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Poland
GQ477464,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Poland
GQ477472,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Poland
GQ477483,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Poland
DQ188977,Caraparu orthobunyavirus,Orthobunyavirus,Peribunyaviridae,705,Brazil
LC519803,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3206,Bangladesh
MG839543,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15221,Argentina
DQ369986,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9054,South Africa
KF214680,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3170,India
GQ868517,Dengue virus,Flavivirus,Flaviviridae,10690,Mexico
FJ562219,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562280,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562338,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,China
FJ562282,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562243,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562227,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562234,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562245,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562289,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562293,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
FJ562225,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KM875425,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KM875404,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY363259,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3115,USA
KY363262,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3155,USA
KY363266,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3155,USA
KY363263,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,USA
KY363264,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,USA
KR013934,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3206,China
KX765853,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KR014026,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3214,China
KR013920,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3103,China
KR013778,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KX765854,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765827,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KR014040,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3214,China
KR013869,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KX765833,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765839,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765855,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765820,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765852,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765821,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765848,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765849,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765842,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765845,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KJ170464,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170470,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170465,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170486,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170474,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170444,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170458,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170492,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170471,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170478,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170481,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170493,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170485,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170501,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170442,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170445,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170463,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
MK540256,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540246,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540254,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540355,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540313,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540351,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540242,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
MK540352,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KY435818,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Israel
KY435823,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Israel
MK540359,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
GU815732,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
GU815729,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MN254979,Enterovirus A,Enterovirus,Picornaviridae,7445,China
GU815756,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
GU815771,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MN451649,Parechovirus A,Parechovirus,Picornaviridae,7150,Australia
MF409178,Sindbis virus,Alphavirus,Togaviridae,11714,Central African Republic
MK005258,Dengue virus,Flavivirus,Flaviviridae,10657,Malaysia
KC292283,SFTS phlebovirus,Phlebovirus,Phenuiviridae,1744,China
KY933702,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,6368,China
KY933695,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,6368,China
MG872324,Human mastadenovirus A,Mastadenovirus,Adenoviridae,33667,Tunisia
MK506832,Oropouche orthobunyavirus,Orthobunyavirus,Peribunyaviridae,6852,Ecuador
MN577550,Zika virus,Flavivirus,Flaviviridae,10807,Nicaragua
MK468801,Chikungunya virus,Alphavirus,Togaviridae,11607,Thailand
KJ189331,Dengue virus,Flavivirus,Flaviviridae,10448,Mexico
MK506823,Oropouche orthobunyavirus,Orthobunyavirus,Peribunyaviridae,4387,Ecuador
MK506820,Oropouche orthobunyavirus,Orthobunyavirus,Peribunyaviridae,952,Ecuador
MK506818,Oropouche orthobunyavirus,Orthobunyavirus,Peribunyaviridae,952,Ecuador
GU815764,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MH423801,Chikungunya virus,Alphavirus,Togaviridae,11528,Kenya
KY933683,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,3378,China
KY933677,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1744,China
MK061425,Enterovirus A,Enterovirus,Picornaviridae,7396,China
MH183293,Human mastadenovirus C,Mastadenovirus,Adenoviridae,35946,China
MK733609,Human gammaherpesvirus 8,Rhadinovirus,Herpesviridae,154483,USA
JQ040153,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,2934,China
MN240502,Enterovirus D,Enterovirus,Picornaviridae,7333,USA
MN240503,Enterovirus D,Enterovirus,Picornaviridae,7341,USA
MN240492,Enterovirus D,Enterovirus,Picornaviridae,7341,USA
JQ040139,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3209,China
MN043590,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9575,South Korea
MN043593,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8666,South Korea
MN043589,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8765,South Korea
MN043580,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8757,South Korea
MN211307,Yellow fever virus,Flavivirus,Flaviviridae,10652,Nigeria
LC430617,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Japan
KC476657,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,897,South Africa
GU815765,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MN166092,Enterovirus B,Enterovirus,Picornaviridae,7412,USA
KF819643,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,318,Sweden
GU815767,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
MN228693,Rhinovirus C,Enterovirus,Picornaviridae,7034,USA
MN166093,Enterovirus B,Enterovirus,Picornaviridae,7385,USA
GU815701,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Taiwan
KF192832,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,India
FN677755,Betapapillomavirus 5,Betapapillomavirus,Papillomaviridae,7436,Slovenia
HQ005372,Hepatitis delta virus,Deltavirus,,1673,Turkey
HM748973,Norwalk virus,Norovirus,Caliciviridae,7560,Australia
JQ582844,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15283,USA
JQ687530,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Serbia
AY858043,Dengue virus,Flavivirus,Flaviviridae,10706,Indonesia
LC155820,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Japan
KC403978,Human metapneumovirus,Metapneumovirus,Pneumoviridae,13295,Australia
KC403979,Human metapneumovirus,Metapneumovirus,Pneumoviridae,13285,Australia
JX195067,Rotavirus A,Rotavirus,Reoviridae,1356,Italy
JX070222,Enterovirus D,Enterovirus,Picornaviridae,7320,New Zealand
KC403982,Human metapneumovirus,Metapneumovirus,Pneumoviridae,13307,Australia
KC403984,Human metapneumovirus,Metapneumovirus,Pneumoviridae,13286,Australia
KC257459,Monkeypox virus,Orthopoxvirus,Poxviridae,206372,Sudan
JN558834,Chikungunya virus,Alphavirus,Togaviridae,11733,India
JN252315,Alphapapillomavirus 10,Alphapapillomavirus,Papillomaviridae,8031,Sweden
JQ513330,Dengue virus,Flavivirus,Flaviviridae,10604,Brazil
KC156117,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9732,Malawi
KC156214,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9705,Malawi
KC156216,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9785,Malawi
KC429765,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,316,India
JX017383,Enterovirus B,Enterovirus,Picornaviridae,7408,China
JX017384,Enterovirus A,Enterovirus,Picornaviridae,7412,China
HQ541794,Dengue virus,Flavivirus,Flaviviridae,10476,Nicaragua
HQ541788,Dengue virus,Flavivirus,Flaviviridae,10487,Nicaragua
HQ541786,Dengue virus,Flavivirus,Flaviviridae,10694,Nicaragua
JQ972914,Human alphaherpesvirus 3,Varicellovirus,Herpesviridae,124763,USA
KC156121,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9713,Malawi
KC156116,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9752,South Africa
KU714453,Rotavirus A,Rotavirus,Reoviridae,751,Malawi
KC478993,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1564,Canada
KC590319,Hepatitis delta virus,Deltavirus,,1673,Brazil
KC510653,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KC510651,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KC510654,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KC510641,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KC510646,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KC510645,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
HM045800,Chikungunya virus,Alphavirus,Togaviridae,11897,Philippines
KT259318,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9356,Spain
JX096953,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Latvia
JX096958,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Latvia
FJ864679,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9168,Russia
JQ431392,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2280,France
JX262382,Enterovirus C,Enterovirus,Picornaviridae,7363,Lithuania
JQ431328,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,France
JQ431316,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,France
JQ429080,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3053,Indonesia
JX123027,Human mastadenovirus B,Mastadenovirus,Adenoviridae,34762,China
KT259314,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9112,Spain
JN664934,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3179,India
JQ431393,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2280,France
JQ431327,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,France
JQ431323,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,France
JN664945,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3158,India
JN664927,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,India
JQ431324,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,France
JX574663,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8952,China
KC175375,Norwalk virus,Norovirus,Caliciviridae,7511,Viet Nam
KC175373,Norwalk virus,Norovirus,Caliciviridae,7511,Viet Nam
KC175368,Norwalk virus,Norovirus,Caliciviridae,7511,Viet Nam
KC175369,Norwalk virus,Norovirus,Caliciviridae,7511,Viet Nam
HM045812,Chikungunya virus,Alphavirus,Togaviridae,11774,Uganda
KC403977,Human metapneumovirus,Metapneumovirus,Pneumoviridae,13379,Australia
JF267949,Primate T-lymphotropic virus 1,Deltaretrovirus,Retroviridae,756,France
JF267941,Primate T-lymphotropic virus 1,Deltaretrovirus,Retroviridae,755,France
JF267942,Primate T-lymphotropic virus 1,Deltaretrovirus,Retroviridae,755,France
JF443726,Orthohepevirus A,Orthohepevirus,Hepeviridae,7226,India
JQ317174,SFTS phlebovirus,Phlebovirus,Phenuiviridae,1744,China
JQ317180,SFTS phlebovirus,Phlebovirus,Phenuiviridae,1744,China
JQ317178,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
JQ670931,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,3378,China
KY470960,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470933,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KY470915,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
JQ517316,Enterovirus A,Enterovirus,Picornaviridae,7405,China
HM999993,Gammapapillomavirus 11,Gammapapillomavirus,Papillomaviridae,7384,USA
KY629935,Rhinovirus A,Enterovirus,Picornaviridae,7130,USA
JQ004092,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7911,Thailand
JN794565,Human bocavirus,Bocaparvovirus,Parvoviridae,5299,China
HQ700523,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Papua New Guinea
HQ700516,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Papua New Guinea
JQ624640,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1721,Australia
KY470955,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3214,China
KY470914,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
JX026885,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3161,China
JX026878,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
JQ479316,Human polyomavirus 5,Alphapolyomavirus,Polyomaviridae,5392,France
MF973183,Human respirovirus 3,Respirovirus,Paramyxoviridae,15398,USA
KY973567,Human respirovirus 3,Respirovirus,Paramyxoviridae,15385,USA
KY973565,Human respirovirus 3,Respirovirus,Paramyxoviridae,15396,USA
MF118140,Human respirovirus 3,Respirovirus,Paramyxoviridae,15444,USA
MF973179,Human respirovirus 3,Respirovirus,Paramyxoviridae,15392,USA
MF973185,Human respirovirus 3,Respirovirus,Paramyxoviridae,15399,USA
KY779605,Human respirovirus 3,Respirovirus,Paramyxoviridae,15410,USA
KY973561,Human respirovirus 3,Respirovirus,Paramyxoviridae,15386,USA
MF973177,Human respirovirus 3,Respirovirus,Paramyxoviridae,15384,USA
MF973172,Human respirovirus 3,Respirovirus,Paramyxoviridae,15342,USA
KY973563,Human respirovirus 3,Respirovirus,Paramyxoviridae,15375,USA
KY779606,Human respirovirus 3,Respirovirus,Paramyxoviridae,15417,USA
KY779596,Human respirovirus 3,Respirovirus,Paramyxoviridae,15417,USA
MF973170,Human respirovirus 3,Respirovirus,Paramyxoviridae,15407,USA
MF973169,Human respirovirus 3,Respirovirus,Paramyxoviridae,15397,USA
KY973553,Human respirovirus 3,Respirovirus,Paramyxoviridae,15407,USA
KY779601,Human respirovirus 3,Respirovirus,Paramyxoviridae,15422,USA
MF118147,Human respirovirus 3,Respirovirus,Paramyxoviridae,15313,USA
KY779600,Human respirovirus 3,Respirovirus,Paramyxoviridae,15421,USA
MF795097,Human respirovirus 3,Respirovirus,Paramyxoviridae,15488,USA
MF166750,Human respirovirus 3,Respirovirus,Paramyxoviridae,15377,USA
MN240300,Alaskapox virus,Orthopoxvirus,Poxviridae,210797,USA
MH671553,Norwalk virus,Norovirus,Caliciviridae,7536,China
KY779610,Human respirovirus 3,Respirovirus,Paramyxoviridae,15358,USA
KY779613,Human respirovirus 3,Respirovirus,Paramyxoviridae,15432,USA
MK334044,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,27516,China
KY369868,Human respirovirus 3,Respirovirus,Paramyxoviridae,15356,USA
MK334046,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,27531,China
KY779614,Human respirovirus 3,Respirovirus,Paramyxoviridae,15414,USA
KY973557,Human respirovirus 3,Respirovirus,Paramyxoviridae,15391,USA
KY973550,Human respirovirus 3,Respirovirus,Paramyxoviridae,15415,USA
KY779595,Human respirovirus 3,Respirovirus,Paramyxoviridae,15406,USA
KY779598,Human respirovirus 3,Respirovirus,Paramyxoviridae,15422,USA
KY973554,Human respirovirus 3,Respirovirus,Paramyxoviridae,15351,USA
KY933403,Human respirovirus 3,Respirovirus,Paramyxoviridae,15397,USA
KY674922,Human respirovirus 3,Respirovirus,Paramyxoviridae,15383,USA
KY369867,Human respirovirus 3,Respirovirus,Paramyxoviridae,15462,USA
MK334047,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,27532,China
KY369869,Human respirovirus 3,Respirovirus,Paramyxoviridae,15388,USA
KY779609,Human respirovirus 3,Respirovirus,Paramyxoviridae,15406,USA
KY369866,Human respirovirus 3,Respirovirus,Paramyxoviridae,15462,USA
KY369865,Human respirovirus 3,Respirovirus,Paramyxoviridae,15391,USA
KX574710,Human respirovirus 3,Respirovirus,Paramyxoviridae,15411,USA
KX574706,Human respirovirus 3,Respirovirus,Paramyxoviridae,15428,USA
KY369871,Human respirovirus 3,Respirovirus,Paramyxoviridae,15381,USA
KY369863,Human respirovirus 3,Respirovirus,Paramyxoviridae,15408,USA
KX574711,Human respirovirus 3,Respirovirus,Paramyxoviridae,15434,USA
MN329148,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1746,South Korea
MN275173,Lassa mammarenavirus,Mammarenavirus,Arenaviridae,3401,Sierra Leone
MH683549,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8948,France
MH683550,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8962,France
KX538972,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30713,Malaysia
MN067522,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9005,China
NC_040804,Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae,7255,USA
NC_040803,Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae,7251,USA
NC_040805,Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae,7282,Italy
NC_040620,Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae,7350,USA
